id,title,description,title_description,subjects,manual_label,by_subjects_count,by_title_desc_count,by_all_count,by_subjects_count_weight,by_title_desc_count_weight,by_all_count_weight,by_subjects_wmd,by_title_desc_wmd,by_all_wmd
14012,Recent results of the ANTARES Neutrino Telescope,"  The latest results from the ANTARES Neutrino Telescope are reported. Limits
on a high energy neutrino diffuse flux have been set using for the first time
both muon-track and showering events. The results for point sources obtained by
ANTARES are also shown. These are the most stringent limits for the southern
sky for neutrino energies below 100 TeV. Constraints on the nature of the
cluster of neutrino events near the Galactic Centre observed by IceCube are
also reported. In particular, ANTARES data excludes a single point-like
neutrino source as the origin of this cluster. Looking for neutrinos coming
from the Sun or the centre of the Galaxy, very competitive limits are set by
the ANTARES data to the flux of neutrinos produced by self-annihilation of
weakly interacting massive particles.
","Recent results of the ANTARES Neutrino Telescope   The latest results from the ANTARES Neutrino Telescope are reported. Limits
on a high energy neutrino diffuse flux have been set using for the first time
both muon-track and showering events. The results for point sources obtained by
ANTARES are also shown. These are the most stringent limits for the southern
sky for neutrino energies below 100 TeV. Constraints on the nature of the
cluster of neutrino events near the Galactic Centre observed by IceCube are
also reported. In particular, ANTARES data excludes a single point-like
neutrino source as the origin of this cluster. Looking for neutrinos coming
from the Sun or the centre of the Galaxy, very competitive limits are set by
the ANTARES data to the flux of neutrinos produced by self-annihilation of
weakly interacting massive particles.
",[u'astrophysics - high energy astrophysical phenomena'],7626,7626,991,7626,7626,2092,2092,5930,7626,7626
14013,"Universal Knowledge Discovery from Big Data: Towards a Paradigm Shift
  from 'Knowledge Discovery' to 'Wisdom Discovery'","  Many people hold a vision that big data will provide big insights and have a
big impact in the future, and big-data-assisted scientific discovery is seen as
an emerging and promising scientific paradigm. However, how to turn big data
into deep insights with tremendous value still remains obscure. To meet the
challenge, universal knowledge discovery from big data (UKD) is proposed. The
new concept focuses on discovering universal knowledge, which exists in the
statistical analyses of big data and provides valuable insights into big data.
Universal knowledge comes in different forms, e.g., universal patterns, rules,
correlations, models and mechanisms. To accelerate big data assisted universal
knowledge discovery, a unified research paradigm should be built based on
techniques and paradigms from related research domains, especially big data
mining and complex systems science. Therefore, I propose an iBEST@SEE
methodology. This study lays a solid foundation for the future development of
universal knowledge discovery, and offers a pathway to the discovery of
""treasure-trove"" hidden in big data.
","Universal Knowledge Discovery from Big Data: Towards a Paradigm Shift
  from 'Knowledge Discovery' to 'Wisdom Discovery'   Many people hold a vision that big data will provide big insights and have a
big impact in the future, and big-data-assisted scientific discovery is seen as
an emerging and promising scientific paradigm. However, how to turn big data
into deep insights with tremendous value still remains obscure. To meet the
challenge, universal knowledge discovery from big data (UKD) is proposed. The
new concept focuses on discovering universal knowledge, which exists in the
statistical analyses of big data and provides valuable insights into big data.
Universal knowledge comes in different forms, e.g., universal patterns, rules,
correlations, models and mechanisms. To accelerate big data assisted universal
knowledge discovery, a unified research paradigm should be built based on
techniques and paradigms from related research domains, especially big data
mining and complex systems science. Therefore, I propose an iBEST@SEE
methodology. This study lays a solid foundation for the future development of
universal knowledge discovery, and offers a pathway to the discovery of
""treasure-trove"" hidden in big data.
","[u'computer science - computers and society', u'68t01']",2092,2092,991,991,8912,8912,8912,7626,7626,7626
14014,"Arrival Modeling and Error Analysis for Molecular Communication via
  Diffusion with Drift","  The arrival of molecules in molecular communication via diffusion (MCvD) is a
counting process, exhibiting by its nature binomial distribution. Even if the
binomial process describes well the arrival of molecules, when considering
consecutively sent symbols, the process struggles to work with the binomial
cumulative distribution function (CDF). Therefore, in the literature, Poisson
and Gaussian approximations of the binomial distribution are used. In this
paper, we analyze these two approximations of the binomial model of the arrival
process in MCvD with drift. Considering the distance, drift velocity, and the
number of emitted molecules, we investigate the regions in which either Poisson
or Gaussian model is better in terms of root mean squared error (RMSE) of the
CDFs; we confirm the boundaries of the region via numerical simulations.
Moreover, we derive the error probabilities for continuous communication and
analyze which model approximates it more accurately.
","Arrival Modeling and Error Analysis for Molecular Communication via
  Diffusion with Drift   The arrival of molecules in molecular communication via diffusion (MCvD) is a
counting process, exhibiting by its nature binomial distribution. Even if the
binomial process describes well the arrival of molecules, when considering
consecutively sent symbols, the process struggles to work with the binomial
cumulative distribution function (CDF). Therefore, in the literature, Poisson
and Gaussian approximations of the binomial distribution are used. In this
paper, we analyze these two approximations of the binomial model of the arrival
process in MCvD with drift. Considering the distance, drift velocity, and the
number of emitted molecules, we investigate the regions in which either Poisson
or Gaussian model is better in terms of root mean squared error (RMSE) of the
CDFs; we confirm the boundaries of the region via numerical simulations.
Moreover, we derive the error probabilities for continuous communication and
analyze which model approximates it more accurately.
",[u'computer science - emerging technologies'],2092,991,991,991,8912,8600,8912,7626,7626,7626
14015,"Thermodynamically self-consistent non-stochastic micromagnetic model for
  the ferromagnetic state","  In this work, a self-consistent thermodynamic approach to micromagnetism is
presented. The magnetic degrees of freedom are modeled using the
Landau-Lifshitz-Baryakhtar theory, that separates the different contributions
to the magnetic damping, and thereby allows them to be coupled to the electron
and phonon systems in a self-consistent way. We show that this model can
quantitatively reproduce ultrafast magnetization dynamics in Nickel.
","Thermodynamically self-consistent non-stochastic micromagnetic model for
  the ferromagnetic state   In this work, a self-consistent thermodynamic approach to micromagnetism is
presented. The magnetic degrees of freedom are modeled using the
Landau-Lifshitz-Baryakhtar theory, that separates the different contributions
to the magnetic damping, and thereby allows them to be coupled to the electron
and phonon systems in a self-consistent way. We show that this model can
quantitatively reproduce ultrafast magnetization dynamics in Nickel.
",[u'condensed matter - materials science'],7626,7626,7626,7626,8912,2092,8912,7626,7626,7626
14016,ORAC-DR: A generic data reduction pipeline infrastructure,"  ORAC-DR is a general purpose data reduction pipeline system designed to be
instrument and observatory agnostic. The pipeline works with instruments as
varied as infrared integral field units, imaging arrays and spectrographs, and
sub-millimeter heterodyne arrays & continuum cameras. This paper describes the
architecture of the pipeline system and the implementation of the core
infrastructure. We finish by discussing the lessons learned since the initial
deployment of the pipeline system in the late 1990s.
","ORAC-DR: A generic data reduction pipeline infrastructure   ORAC-DR is a general purpose data reduction pipeline system designed to be
instrument and observatory agnostic. The pipeline works with instruments as
varied as infrared integral field units, imaging arrays and spectrographs, and
sub-millimeter heterodyne arrays & continuum cameras. This paper describes the
architecture of the pipeline system and the implementation of the core
infrastructure. We finish by discussing the lessons learned since the initial
deployment of the pipeline system in the late 1990s.
",[u'astrophysics - instrumentation and methods for astrophysics'],7626,7626,8600,7626,2092,2092,2092,2092,2092,2092
14017,"The Gindikin-Karpelevich Formula and Constant Terms of Eisenstein Series
  for Brylinski-Deligne Extensions","  We firstly discuss properties of the L-group for Brylinski-Deligne (BD)
extensions constructed by M. Weissman. Secondly, the Gindikin-Karpelevich (GK)
formula for arbitrary BD extensions is computed and expressed in terms of
naturally defined elements of the group. We show that the GK formula can be
interpreted as Langlands-Shahidi type L-functions associated with the ajoint
action of the L-group of the Levi on certain Lie algebras. As a consequence,
the constant term of Eisenstein series for BD extensions could be expressed in
terms of global (partial) Langlands-Shahidi type L-functions. In the end, we
use this to determine the residual spectrum of BD covers of some semisimple
rank one groups.
","The Gindikin-Karpelevich Formula and Constant Terms of Eisenstein Series
  for Brylinski-Deligne Extensions   We firstly discuss properties of the L-group for Brylinski-Deligne (BD)
extensions constructed by M. Weissman. Secondly, the Gindikin-Karpelevich (GK)
formula for arbitrary BD extensions is computed and expressed in terms of
naturally defined elements of the group. We show that the GK formula can be
interpreted as Langlands-Shahidi type L-functions associated with the ajoint
action of the L-group of the Levi on certain Lie algebras. As a consequence,
the constant term of Eisenstein series for BD extensions could be expressed in
terms of global (partial) Langlands-Shahidi type L-functions. In the end, we
use this to determine the residual spectrum of BD covers of some semisimple
rank one groups.
","[u'mathematics - number theory', u'mathematics - representation theory']",7626,7626,5930,991,2092,7626,7626,7626,7626,7626
14018,"Finite groups of automorphisms of Enriques surfaces and the Mathieu
  group $M_{12}$","  An action of a group $G$ on an Enriques surface $S$ is called Mathieu if it
acts on $H^0(2K_S)$ trivially and every element of order 2, 4 has Lefschetz
number 4. A finite group $G$ has a Mathieu action on some Enriques surface if
and only if it is isomorphic to a subgroup of the symmetric group
$\mathfrak{S}_6$ of degree 6 and the order $|G|$ is not divisible by $2^4$.
Explicit Mathieu actions of the three groups $\mathfrak S_5, N_{72}$ and
$\mathfrak A_6$, together with non-Mathieu one of $H_{192}$, on polarized
Enriques surfaces of degree 30, 18, 10 and 6, respectively, are constructed
without Torelli type theorem to prove the if part.
","Finite groups of automorphisms of Enriques surfaces and the Mathieu
  group $M_{12}$   An action of a group $G$ on an Enriques surface $S$ is called Mathieu if it
acts on $H^0(2K_S)$ trivially and every element of order 2, 4 has Lefschetz
number 4. A finite group $G$ has a Mathieu action on some Enriques surface if
and only if it is isomorphic to a subgroup of the symmetric group
$\mathfrak{S}_6$ of degree 6 and the order $|G|$ is not divisible by $2^4$.
Explicit Mathieu actions of the three groups $\mathfrak S_5, N_{72}$ and
$\mathfrak A_6$, together with non-Mathieu one of $H_{192}$, on polarized
Enriques surfaces of degree 30, 18, 10 and 6, respectively, are constructed
without Torelli type theorem to prove the if part.
","[u'14j28', u'mathematics - algebraic geometry', u'mathematics - group theory', u'20d08']",7626,7626,5930,7626,7626,7626,7626,8600,7626,7626
14019,"Lattice Hamiltonian approach to the Schwinger model: further results
  from the strong coupling expansion","  We employ exact diagonalization with strong coupling expansion to the
massless and massive Schwinger model. New results are presented for the ground
state energy and scalar mass gap in the massless model, which improve the
precision to nearly $10^{-9} %$. We also investigate the chiral condensate and
compare our calculations to previous results available in the literature.
Oscillations of the chiral condensate which are present while increasing the
expansion order are also studied and are shown to be directly linked to the
presence of flux loops in the system.
","Lattice Hamiltonian approach to the Schwinger model: further results
  from the strong coupling expansion   We employ exact diagonalization with strong coupling expansion to the
massless and massive Schwinger model. New results are presented for the ground
state energy and scalar mass gap in the massless model, which improve the
precision to nearly $10^{-9} %$. We also investigate the chiral condensate and
compare our calculations to previous results available in the literature.
Oscillations of the chiral condensate which are present while increasing the
expansion order are also studied and are shown to be directly linked to the
presence of flux loops in the system.
",[u'high energy physics - lattice'],7626,7626,5930,5930,7626,7626,7626,7626,7626,7626
14020,Exact Recovery in the Stochastic Block Model,"  The stochastic block model (SBM) with two communities, or equivalently the
planted bisection model, is a popular model of random graph exhibiting a
cluster behaviour. In the symmetric case, the graph has two equally sized
clusters and vertices connect with probability $p$ within clusters and $q$
across clusters. In the past two decades, a large body of literature in
statistics and computer science has focused on providing lower-bounds on the
scaling of $|p-q|$ to ensure exact recovery. In this paper, we identify a sharp
threshold phenomenon for exact recovery: if $\alpha=pn/\log(n)$ and
$\beta=qn/\log(n)$ are constant (with $\alpha>\beta$), recovering the
communities with high probability is possible if $\frac{\alpha+\beta}{2} -
\sqrt{\alpha \beta}>1$ and impossible if $\frac{\alpha+\beta}{2} - \sqrt{\alpha
\beta}<1$. In particular, this improves the existing bounds. This also sets a
new line of sight for efficient clustering algorithms. While maximum likelihood
(ML) achieves the optimal threshold (by definition), it is in the worst-case
NP-hard. This paper proposes an efficient algorithm based on a semidefinite
programming relaxation of ML, which is proved to succeed in recovering the
communities close to the threshold, while numerical experiments suggest it may
achieve the threshold. An efficient algorithm which succeeds all the way down
to the threshold is also obtained using a partial recovery algorithm combined
with a local improvement procedure.
","Exact Recovery in the Stochastic Block Model   The stochastic block model (SBM) with two communities, or equivalently the
planted bisection model, is a popular model of random graph exhibiting a
cluster behaviour. In the symmetric case, the graph has two equally sized
clusters and vertices connect with probability $p$ within clusters and $q$
across clusters. In the past two decades, a large body of literature in
statistics and computer science has focused on providing lower-bounds on the
scaling of $|p-q|$ to ensure exact recovery. In this paper, we identify a sharp
threshold phenomenon for exact recovery: if $\alpha=pn/\log(n)$ and
$\beta=qn/\log(n)$ are constant (with $\alpha>\beta$), recovering the
communities with high probability is possible if $\frac{\alpha+\beta}{2} -
\sqrt{\alpha \beta}>1$ and impossible if $\frac{\alpha+\beta}{2} - \sqrt{\alpha
\beta}<1$. In particular, this improves the existing bounds. This also sets a
new line of sight for efficient clustering algorithms. While maximum likelihood
(ML) achieves the optimal threshold (by definition), it is in the worst-case
NP-hard. This paper proposes an efficient algorithm based on a semidefinite
programming relaxation of ML, which is proved to succeed in recovering the
communities close to the threshold, while numerical experiments suggest it may
achieve the threshold. An efficient algorithm which succeeds all the way down
to the threshold is also obtained using a partial recovery algorithm combined
with a local improvement procedure.
","[u'physics - physics and society', u'mathematics - probability', u'computer science - social and information networks']",7626,2092,8600,8600,8912,8912,8912,7626,7626,7626
14021,Dynamics of Chemical Equilibrium of Hadronic Matter Close to $T_c$,"  Quick chemical equilibration times of hadrons (specifically, $p\bar{p}$,
$K\bar{K}$, $\Lambda\bar{\Lambda}$, and $\Omega\bar{\Omega}$ pairs) within a
hadron gas are explained dynamically using Hagedorn states, which drive
particles into equilibrium close to the critical temperature. Within this
scheme, we use master equations and derive various analytical estimates for the
chemical equilibration times. We compare our model to recent lattice results
and find that for both $T_c=176$ MeV and $T_c=196$ MeV, the hadrons can reach
chemical equilibrium almost immediately, well before the chemical freeze-out
temperatures found in thermal fits for a hadron gas without Hagedorn states.
Furthermore the ratios $p/\pi$, $K/\pi$, $\Lambda/\pi$, and $\Omega / \pi $
match experimental values well in our dynamical scenario.
","Dynamics of Chemical Equilibrium of Hadronic Matter Close to $T_c$   Quick chemical equilibration times of hadrons (specifically, $p\bar{p}$,
$K\bar{K}$, $\Lambda\bar{\Lambda}$, and $\Omega\bar{\Omega}$ pairs) within a
hadron gas are explained dynamically using Hagedorn states, which drive
particles into equilibrium close to the critical temperature. Within this
scheme, we use master equations and derive various analytical estimates for the
chemical equilibration times. We compare our model to recent lattice results
and find that for both $T_c=176$ MeV and $T_c=196$ MeV, the hadrons can reach
chemical equilibrium almost immediately, well before the chemical freeze-out
temperatures found in thermal fits for a hadron gas without Hagedorn states.
Furthermore the ratios $p/\pi$, $K/\pi$, $\Lambda/\pi$, and $\Omega / \pi $
match experimental values well in our dynamical scenario.
",[u'nuclear theory'],7626,991,7626,7626,2092,7626,7626,5930,7626,7626
9043,Bounds on Distance Estimation via Diffusive Molecular Communication,"  This paper studies distance estimation for diffusive molecular communication.
The Cramer-Rao lower bound on the variance of the distance estimation error is
derived. The lower bound is derived for a physically unbounded environment with
molecule degradation and steady uniform flow. The maximum likelihood distance
estimator is derived and its accuracy is shown via simulation to perform very
close to the Cramer-Rao lower bound. An existing protocol is shown to be
equivalent to the maximum likelihood distance estimator if only one observation
is made. Simulation results also show the accuracy of existing protocols with
respect to the Cramer-Rao lower bound.
","Bounds on Distance Estimation via Diffusive Molecular Communication   This paper studies distance estimation for diffusive molecular communication.
The Cramer-Rao lower bound on the variance of the distance estimation error is
derived. The lower bound is derived for a physically unbounded environment with
molecule degradation and steady uniform flow. The maximum likelihood distance
estimator is derived and its accuracy is shown via simulation to perform very
close to the Cramer-Rao lower bound. An existing protocol is shown to be
equivalent to the maximum likelihood distance estimator if only one observation
is made. Simulation results also show the accuracy of existing protocols with
respect to the Cramer-Rao lower bound.
",[u'computer science - information theory'],2092,2092,8600,8600,8912,2948,8912,7626,2092,5930
9045,"Factors Influencing Quality of Mobile Apps:Role of Mobile App
  Development Life Cycle","  In this paper, The mobile application field has been receiving astronomical
attention from the past few years due to the growing number of mobile app
downloads and withal due to the revenues being engendered .With the surge in
the number of apps, the number of lamentable apps/failing apps has withal been
growing.Interesting mobile app statistics are included in this paper which
might avail the developers understand the concerns and merits of mobile
apps.The authors have made an effort to integrate all the crucial factors that
cause apps to fail which include negligence by the developers, technical
issues, inadequate marketing efforts, and high prospects of the
users/consumers.The paper provides suggestions to eschew failure of apps. As
per the various surveys, the number of lamentable/failing apps is growing
enormously, primarily because mobile app developers are not adopting a standard
development life cycle for the development of apps. In this paper, we have
developed a mobile application with the aid of traditional software development
life cycle phases (Requirements, Design, Develop, Test, and, Maintenance) and
we have used UML, M-UML, and mobile application development technologies.
","Factors Influencing Quality of Mobile Apps:Role of Mobile App
  Development Life Cycle   In this paper, The mobile application field has been receiving astronomical
attention from the past few years due to the growing number of mobile app
downloads and withal due to the revenues being engendered .With the surge in
the number of apps, the number of lamentable apps/failing apps has withal been
growing.Interesting mobile app statistics are included in this paper which
might avail the developers understand the concerns and merits of mobile
apps.The authors have made an effort to integrate all the crucial factors that
cause apps to fail which include negligence by the developers, technical
issues, inadequate marketing efforts, and high prospects of the
users/consumers.The paper provides suggestions to eschew failure of apps. As
per the various surveys, the number of lamentable/failing apps is growing
enormously, primarily because mobile app developers are not adopting a standard
development life cycle for the development of apps. In this paper, we have
developed a mobile application with the aid of traditional software development
life cycle phases (Requirements, Design, Develop, Test, and, Maintenance) and
we have used UML, M-UML, and mobile application development technologies.
",[u'computer science - software engineering'],2092,2092,991,991,8912,2092,8912,7626,7626,7626
9046,Memristor models for machine learning,"  In the quest for alternatives to traditional CMOS, it is being suggested that
digital computing efficiency and power can be improved by matching the
precision to the application. Many applications do not need the high precision
that is being used today. In particular, large gains in area- and power
efficiency could be achieved by dedicated analog realizations of approximate
computing engines. In this work, we explore the use of memristor networks for
analog approximate computation, based on a machine learning framework called
reservoir computing. Most experimental investigations on the dynamics of
memristors focus on their nonvolatile behavior. Hence, the volatility that is
present in the developed technologies is usually unwanted and it is not
included in simulation models. In contrast, in reservoir computing, volatility
is not only desirable but necessary. Therefore, in this work, we propose two
different ways to incorporate it into memristor simulation models. The first is
an extension of Strukov's model and the second is an equivalent Wiener model
approximation. We analyze and compare the dynamical properties of these models
and discuss their implications for the memory and the nonlinear processing
capacity of memristor networks. Our results indicate that device variability,
increasingly causing problems in traditional computer design, is an asset in
the context of reservoir computing. We conclude that, although both models
could lead to useful memristor based reservoir computing systems, their
computational performance will differ. Therefore, experimental modeling
research is required for the development of accurate volatile memristor models.
","Memristor models for machine learning   In the quest for alternatives to traditional CMOS, it is being suggested that
digital computing efficiency and power can be improved by matching the
precision to the application. Many applications do not need the high precision
that is being used today. In particular, large gains in area- and power
efficiency could be achieved by dedicated analog realizations of approximate
computing engines. In this work, we explore the use of memristor networks for
analog approximate computation, based on a machine learning framework called
reservoir computing. Most experimental investigations on the dynamics of
memristors focus on their nonvolatile behavior. Hence, the volatility that is
present in the developed technologies is usually unwanted and it is not
included in simulation models. In contrast, in reservoir computing, volatility
is not only desirable but necessary. Therefore, in this work, we propose two
different ways to incorporate it into memristor simulation models. The first is
an extension of Strukov's model and the second is an equivalent Wiener model
approximation. We analyze and compare the dynamical properties of these models
and discuss their implications for the memory and the nonlinear processing
capacity of memristor networks. Our results indicate that device variability,
increasingly causing problems in traditional computer design, is an asset in
the context of reservoir computing. We conclude that, although both models
could lead to useful memristor based reservoir computing systems, their
computational performance will differ. Therefore, experimental modeling
research is required for the development of accurate volatile memristor models.
","[u'computer science - learning', u'condensed matter - materials science']",2092,7626,991,7626,8912,2092,2092,7626,7626,7626
9052,"Two-Layer Feature Reduction for Sparse-Group Lasso via Decomposition of
  Convex Sets","  Sparse-Group Lasso (SGL) has been shown to be a powerful regression technique
for simultaneously discovering group and within-group sparse patterns by using
a combination of the $\ell_1$ and $\ell_2$ norms. However, in large-scale
applications, the complexity of the regularizers entails great computational
challenges. In this paper, we propose a novel Two-Layer Feature REduction
method (TLFre) for SGL via a decomposition of its dual feasible set. The
two-layer reduction is able to quickly identify the inactive groups and the
inactive features, respectively, which are guaranteed to be absent from the
sparse representation and can be removed from the optimization. Existing
feature reduction methods are only applicable for sparse models with one
sparsity-inducing regularizer. To our best knowledge, TLFre is the first one
that is capable of dealing with multiple sparsity-inducing regularizers.
Moreover, TLFre has a very low computational cost and can be integrated with
any existing solvers. We also develop a screening method---called DPC
(DecomPosition of Convex set)---for the nonnegative Lasso problem. Experiments
on both synthetic and real data sets show that TLFre and DPC improve the
efficiency of SGL and nonnegative Lasso by several orders of magnitude.
","Two-Layer Feature Reduction for Sparse-Group Lasso via Decomposition of
  Convex Sets   Sparse-Group Lasso (SGL) has been shown to be a powerful regression technique
for simultaneously discovering group and within-group sparse patterns by using
a combination of the $\ell_1$ and $\ell_2$ norms. However, in large-scale
applications, the complexity of the regularizers entails great computational
challenges. In this paper, we propose a novel Two-Layer Feature REduction
method (TLFre) for SGL via a decomposition of its dual feasible set. The
two-layer reduction is able to quickly identify the inactive groups and the
inactive features, respectively, which are guaranteed to be absent from the
sparse representation and can be removed from the optimization. Existing
feature reduction methods are only applicable for sparse models with one
sparsity-inducing regularizer. To our best knowledge, TLFre is the first one
that is capable of dealing with multiple sparsity-inducing regularizers.
Moreover, TLFre has a very low computational cost and can be integrated with
any existing solvers. We also develop a screening method---called DPC
(DecomPosition of Convex set)---for the nonnegative Lasso problem. Experiments
on both synthetic and real data sets show that TLFre and DPC improve the
efficiency of SGL and nonnegative Lasso by several orders of magnitude.
",[u'computer science - learning'],2092,991,991,991,8912,2092,8912,7626,7626,7626
9060,Can SDN Mitigate Disasters?,"  Datacenter networks and services are at risk in the face of disasters.
Existing fault-tolerant storage services cannot even achieve a nil recovery
point objective (RPO) as client-generated data may get lost before the
termination of their migration across geo-replicated datacenters. SDN has
proved instrumental in exploiting application-level information to optimise the
routing of information. In this paper, we propose Software Defined Edge (SDE)
or the implementation of SDN at the network edge to achieve nil RPO. We
illustrate our proposal with a fault-tolerant key-value store that
experimentally recovers from disaster within 30s. Although SDE is inherently
fault-tolerant and scalable, its deployment raises new challenges on the
partnership between ISPs and CDN providers. We conclude that failure detection
information at the SDN-level can effectively benefit applications to recover
from disaster.
","Can SDN Mitigate Disasters?   Datacenter networks and services are at risk in the face of disasters.
Existing fault-tolerant storage services cannot even achieve a nil recovery
point objective (RPO) as client-generated data may get lost before the
termination of their migration across geo-replicated datacenters. SDN has
proved instrumental in exploiting application-level information to optimise the
routing of information. In this paper, we propose Software Defined Edge (SDE)
or the implementation of SDN at the network edge to achieve nil RPO. We
illustrate our proposal with a fault-tolerant key-value store that
experimentally recovers from disaster within 30s. Although SDE is inherently
fault-tolerant and scalable, its deployment raises new challenges on the
partnership between ISPs and CDN providers. We conclude that failure detection
information at the SDN-level can effectively benefit applications to recover
from disaster.
",[u'computer science - networking and internet architecture'],2092,2092,5930,2092,8912,2092,8912,7626,2092,5930
9065,Classical automata on promise problems,"  Promise problems were mainly studied in quantum automata theory. Here we
focus on state complexity of classical automata for promise problems. First, it
was known that there is a family of unary promise problems solvable by quantum
automata by using a single qubit, but the number of states required by
corresponding one-way deterministic automata cannot be bounded by a constant.
For this family, we show that even two-way nondeterminism does not help to save
a single state. By comparing this with the corresponding state complexity of
alternating machines, we then get a tight exponential gap between two-way
nondeterministic and one-way alternating automata solving unary promise
problems. Second, despite of the existing quadratic gap between Las Vegas
realtime probabilistic automata and one-way deterministic automata for language
recognition, we show that, by turning to promise problems, the tight gap
becomes exponential. Last, we show that the situation is different for one-way
probabilistic automata with two-sided bounded-error. We present a family of
unary promise problems that is very easy for these machines; solvable with only
two states, but the number of states in two-way alternating or any simpler
automata is not limited by a constant. Moreover, we show that one-way
bounded-error probabilistic automata can solve promise problems not solvable at
all by any other classical model.
","Classical automata on promise problems   Promise problems were mainly studied in quantum automata theory. Here we
focus on state complexity of classical automata for promise problems. First, it
was known that there is a family of unary promise problems solvable by quantum
automata by using a single qubit, but the number of states required by
corresponding one-way deterministic automata cannot be bounded by a constant.
For this family, we show that even two-way nondeterminism does not help to save
a single state. By comparing this with the corresponding state complexity of
alternating machines, we then get a tight exponential gap between two-way
nondeterministic and one-way alternating automata solving unary promise
problems. Second, despite of the existing quadratic gap between Las Vegas
realtime probabilistic automata and one-way deterministic automata for language
recognition, we show that, by turning to promise problems, the tight gap
becomes exponential. Last, we show that the situation is different for one-way
probabilistic automata with two-sided bounded-error. We present a family of
unary promise problems that is very easy for these machines; solvable with only
two states, but the number of states in two-way alternating or any simpler
automata is not limited by a constant. Moreover, we show that one-way
bounded-error probabilistic automata can solve promise problems not solvable at
all by any other classical model.
","[u'computer science - formal languages and automata theory', u'computer science - computational complexity']",2092,991,991,991,8912,9268,8912,7626,7626,7626
9066,kLog: A Language for Logical and Relational Learning with Kernels,"  We introduce kLog, a novel approach to statistical relational learning.
Unlike standard approaches, kLog does not represent a probability distribution
directly. It is rather a language to perform kernel-based learning on
expressive logical and relational representations. kLog allows users to specify
learning problems declaratively. It builds on simple but powerful concepts:
learning from interpretations, entity/relationship data modeling, logic
programming, and deductive databases. Access by the kernel to the rich
representation is mediated by a technique we call graphicalization: the
relational representation is first transformed into a graph --- in particular,
a grounded entity/relationship diagram. Subsequently, a choice of graph kernel
defines the feature space. kLog supports mixed numerical and symbolic data, as
well as background knowledge in the form of Prolog or Datalog programs as in
inductive logic programming systems. The kLog framework can be applied to
tackle the same range of tasks that has made statistical relational learning so
popular, including classification, regression, multitask learning, and
collective classification. We also report about empirical comparisons, showing
that kLog can be either more accurate, or much faster at the same level of
accuracy, than Tilde and Alchemy. kLog is GPLv3 licensed and is available at
http://klog.dinfo.unifi.it along with tutorials.
","kLog: A Language for Logical and Relational Learning with Kernels   We introduce kLog, a novel approach to statistical relational learning.
Unlike standard approaches, kLog does not represent a probability distribution
directly. It is rather a language to perform kernel-based learning on
expressive logical and relational representations. kLog allows users to specify
learning problems declaratively. It builds on simple but powerful concepts:
learning from interpretations, entity/relationship data modeling, logic
programming, and deductive databases. Access by the kernel to the rich
representation is mediated by a technique we call graphicalization: the
relational representation is first transformed into a graph --- in particular,
a grounded entity/relationship diagram. Subsequently, a choice of graph kernel
defines the feature space. kLog supports mixed numerical and symbolic data, as
well as background knowledge in the form of Prolog or Datalog programs as in
inductive logic programming systems. The kLog framework can be applied to
tackle the same range of tasks that has made statistical relational learning so
popular, including classification, regression, multitask learning, and
collective classification. We also report about empirical comparisons, showing
that kLog can be either more accurate, or much faster at the same level of
accuracy, than Tilde and Alchemy. kLog is GPLv3 licensed and is available at
http://klog.dinfo.unifi.it along with tutorials.
","[u'computer science - artificial intelligence', u'd.3.2', u'computer science - learning', u'i.2.6', u'i.2.3', u'computer science - programming languages']",2092,2092,991,991,8912,2092,8912,7626,7626,7626
9067,On terminating improvement in two-player games,"  A real-valued game has the finite improvement property (FIP), if starting
from an arbitrary strategy profile and letting the players change strategies to
increase their individual payoffs in a sequential but non-deterministic order
always reaches a Nash equilibrium. E.g., potential games have the FIP. Many of
them have the FIP by chance nonetheless, since modifying even a single payoff
may ruin the property. This article characterises (in quadratic time) the class
of the finite games where FIP not only holds but is also preserved when
modifying all the occurrences of an arbitrary payoff. The characterisation
relies on a pattern-matching sufficient condition for games (finite or
infinite) to enjoy the FIP, and is followed by an inductive description of this
class.
  A real-valued game is weakly acyclic if the improvement described above can
reach a Nash equilibrium. This article characterises the finite such games
using Markov chains and almost sure convergence to equilibrium. It also gives
an inductive description of the two-player such games.
","On terminating improvement in two-player games   A real-valued game has the finite improvement property (FIP), if starting
from an arbitrary strategy profile and letting the players change strategies to
increase their individual payoffs in a sequential but non-deterministic order
always reaches a Nash equilibrium. E.g., potential games have the FIP. Many of
them have the FIP by chance nonetheless, since modifying even a single payoff
may ruin the property. This article characterises (in quadratic time) the class
of the finite games where FIP not only holds but is also preserved when
modifying all the occurrences of an arbitrary payoff. The characterisation
relies on a pattern-matching sufficient condition for games (finite or
infinite) to enjoy the FIP, and is followed by an inductive description of this
class.
  A real-valued game is weakly acyclic if the improvement described above can
reach a Nash equilibrium. This article characterises the finite such games
using Markov chains and almost sure convergence to equilibrium. It also gives
an inductive description of the two-player such games.
","[u'computer science - computer science and game theory', u'91a']",2092,991,991,991,8912,2092,8912,8600,7626,7626
